course_id,title,provider,url,level,duration_bucket,language,topic,skills,skill_tags_normalized,description,estimated_effort_hours,format
crs_0019,Hands-on Edge Reliability with Nginx and Traffic Management,Coursera,https://learning.example.com/courses/crs_0019/hands-on-edge-reliability-with-nginx-and-traffic-management,Intermediate,1–4 Weeks,English,Information Technology,"Nginx, Load Balancing, Caching, Reliability Engineering","edge, reliability, caching","This course helps you build job-ready skills for edge, reliability, caching. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",14,Course
crs_0020,Probability and Statistics for Engineers: Search Playbook,IBM SkillsBuild,https://learning.example.com/courses/crs_0020/probability-and-statistics-for-engineers-search-playbook,Intermediate,Less than 2 hours,English,Math and Logic,"Probability, Statistics, Data Literacy, Hypothesis Testing","math, statistics","This course helps you build job-ready skills for math, statistics. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",2,Guided Project
crs_0021,Infrastructure as Code with Terraform and Cloud Foundations: Notifications Playbook,Coursera,https://learning.example.com/courses/crs_0021/infrastructure-as-code-with-terraform-and-cloud-foundations-notifications-playbo,Intermediate,1–4 Weeks,English,Information Technology,"Terraform, Infrastructure as Code, Cloud Computing, DevOps, Cloud Architecture, Performance Tuning","iac, platform, cloud, automation","This course helps you build job-ready skills for iac, platform, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",12,Course
crs_0022,"Go for Backend Services: Concurrency, APIs, and Logging Foundations",Coursera,https://learning.example.com/courses/crs_0022/go-for-backend-services-concurrency-apis-and-logging-foundations,Intermediate,1–4 Weeks,English,Computer Science,"Go, Concurrency, Backend Development, Logging, System Design, Observability","golang, backend, logging","This course helps you build job-ready skills for golang, backend, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",8,Course
crs_0023,Modern Frontend Engineering with React and TypeScript: Billing Mastery,Meta,https://learning.example.com/courses/crs_0023/modern-frontend-engineering-with-react-and-typescript-billing-mastery,Beginner,Less than 2 hours,English,Computer Science,"React, TypeScript, UI Engineering, Accessibility, State Management, Code Review","frontend, react, typescript, ui, accessibility","This course helps you build job-ready skills for frontend, react, typescript. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0024,Testing Strategies with PyTest and Mocking for Reliable Systems: Analytics Playbook,Coursera,https://learning.example.com/courses/crs_0024/testing-strategies-with-pytest-and-mocking-for-reliable-systems-analytics-playbo,Beginner,1–4 Weeks,English,Computer Science,"PyTest, Unit Testing, Integration Testing, Mocking, Quality","testing, quality","This course helps you build job-ready skills for testing, quality. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",14,Course
crs_0025,API Design and Backend Engineering: Patterns and Practices: Billing Playbook,IBM Training,https://learning.example.com/courses/crs_0025/api-design-and-backend-engineering-patterns-and-practices-billing-playbook,Intermediate,1–4 Weeks,English,Computer Science,"API Design, Backend Development, REST APIs, System Design, Documentation, DevOps","backend, api-design","This course helps you build job-ready skills for backend, api-design. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",9,Course
crs_0026,Advanced High-Impact Technical Communication for Engineers,University Partner,https://learning.example.com/courses/crs_0026/advanced-high-impact-technical-communication-for-engineers,Beginner,1–3 Months,French,Personal Development,"Technical Writing, Stakeholder Communication, Documentation, Incident Management","communication, documentation","This course helps you build job-ready skills for communication, documentation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",34,Course
crs_0027,High-Impact Technical Communication for Engineers Foundations,Coursera,https://learning.example.com/courses/crs_0027/high-impact-technical-communication-for-engineers-foundations,Beginner,1–3 Months,English,Personal Development,"Technical Writing, Stakeholder Communication, Documentation, System Design, Security Best Practices","communication, documentation","This course helps you build job-ready skills for communication, documentation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",60,Course
crs_0028,Probability and Statistics for Engineers in Practice,IBM SkillsBuild,https://learning.example.com/courses/crs_0028/probability-and-statistics-for-engineers-in-practice,Mixed,Less than 2 hours,German,Math and Logic,"Probability, Statistics, Data Literacy, Hypothesis Testing","math, statistics","This course helps you build job-ready skills for math, statistics. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0029,Kubernetes Foundations for Platform Engineers: Orders Track,IBM SkillsBuild,https://learning.example.com/courses/crs_0029/kubernetes-foundations-for-platform-engineers-orders-track,Beginner,Less than 2 hours,English,Information Technology,"Kubernetes, Containers, Cluster Management, Troubleshooting, SRE, System Design, Cloud Architecture","kubernetes, platform, reliability, containers","This course helps you build job-ready skills for kubernetes, platform, reliability. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",1,Course
crs_0030,API Design and Backend Engineering: Patterns and Practices: Analytics Playbook,IBM Training,https://learning.example.com/courses/crs_0030/api-design-and-backend-engineering-patterns-and-practices-analytics-playbook,Intermediate,1–4 Weeks,English,Computer Science,"API Design, Backend Development, REST APIs, System Design, DevOps","backend, api-design","This course helps you build job-ready skills for backend, api-design. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",7,Course
crs_0031,Secrets Management and Rotation Automation with Vault Bootcamp,IBM Training,https://learning.example.com/courses/crs_0031/secrets-management-and-rotation-automation-with-vault-bootcamp,Advanced,1–4 Weeks,German,Information Technology,"Vault, Secrets Management, Automation, Security","secrets, security, automation","This course helps you build job-ready skills for secrets, security, automation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",9,Course
crs_0032,Secure Authentication with OAuth and OpenID Connect at Scale,IBM Training,https://learning.example.com/courses/crs_0032/secure-authentication-with-oauth-and-openid-connect-at-scale,Advanced,1–4 Weeks,English,Computer Science,"OAuth, OpenID Connect, Identity and Access Management, Security, Incident Management, Security Best Practices","iam, security, access-control","This course helps you build job-ready skills for iam, security, access-control. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",7,Specialization
crs_0033,CI/CD with GitHub Actions and Modern DevOps: Orders Mastery,Coursera,https://learning.example.com/courses/crs_0033/ci-cd-with-github-actions-and-modern-devops-orders-mastery,Advanced,Less than 2 hours,Spanish,Information Technology,"CI/CD, GitHub Actions, Automation, DevOps","cicd, automation","This course helps you build job-ready skills for cicd, automation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0034,Secure CI/CD with GitHub Actions and Modern DevOps,IBM SkillsBuild,https://learning.example.com/courses/crs_0034/secure-ci-cd-with-github-actions-and-modern-devops,Intermediate,Less than 2 hours,English,Information Technology,"CI/CD, GitHub Actions, Automation, DevOps, Documentation, Incident Management","cicd, automation","This course helps you build job-ready skills for cicd, automation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",2,Guided Project
crs_0035,Secrets Management and Rotation Automation with Vault in Practice,Coursera,https://learning.example.com/courses/crs_0035/secrets-management-and-rotation-automation-with-vault-in-practice,Advanced,1–3 Months,English,Information Technology,"Vault, Secrets Management, Automation, Security","secrets, security, automation","This course helps you build job-ready skills for secrets, security, automation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",31,Course
crs_0036,Secure API Design and Backend Engineering: Patterns and Practices,IBM SkillsBuild,https://learning.example.com/courses/crs_0036/secure-api-design-and-backend-engineering-patterns-and-practices,Advanced,3–6 Months,French,Computer Science,"API Design, Backend Development, REST APIs, System Design, Observability","backend, api-design","This course helps you build job-ready skills for backend, api-design. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",100,Course
crs_0037,Zero-Downtime Database Migrations with Liquibase: Orders Playbook,IBM Training,https://learning.example.com/courses/crs_0037/zero-downtime-database-migrations-with-liquibase-orders-playbook,Advanced,1–4 Weeks,German,Information Technology,"Database Migrations, Liquibase, PostgreSQL, Release Engineering","database-migrations, release-engineering, database, sql","This course helps you build job-ready skills for database-migrations, release-engineering, database. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",8,Course
crs_0038,Advanced FinOps Fundamentals: Cloud Cost Optimization and Governance,Coursera,https://learning.example.com/courses/crs_0038/advanced-finops-fundamentals-cloud-cost-optimization-and-governance,Beginner,1–4 Weeks,English,Business,"FinOps, Cloud Cost Optimization, Monitoring, Forecasting","finops, cost-optimization, cloud, monitoring","This course helps you build job-ready skills for finops, cost-optimization, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",7,Course
crs_0039,Edge Reliability with Nginx and Traffic Management: Search Essentials,Coursera,https://learning.example.com/courses/crs_0039/edge-reliability-with-nginx-and-traffic-management-search-essentials,Intermediate,1–4 Weeks,French,Information Technology,"Nginx, Load Balancing, Caching, Reliability Engineering","edge, reliability, caching","This course helps you build job-ready skills for edge, reliability, caching. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",9,Course
crs_0040,CI/CD with GitHub Actions and Modern DevOps: Notifications Playbook,IBM Training,https://learning.example.com/courses/crs_0040/ci-cd-with-github-actions-and-modern-devops-notifications-playbook,Beginner,Less than 2 hours,Spanish,Information Technology,"CI/CD, GitHub Actions, Automation, DevOps","cicd, automation","This course helps you build job-ready skills for cicd, automation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",2,Course
crs_0041,"Observability: Logging, Metrics, Tracing, and Alerting: Identity Track",Coursera,https://learning.example.com/courses/crs_0041/observability-logging-metrics-tracing-and-alerting-identity-track,Beginner,1–4 Weeks,English,Information Technology,"Observability, Monitoring, Logging, Alerting, Incident Response, Testing, Documentation","observability, monitoring, logging, alerting, reliability","This course helps you build job-ready skills for observability, monitoring, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",8,Specialization
crs_0042,"Go for Backend Services: Concurrency, APIs, and Logging for Teams",Google Cloud,https://learning.example.com/courses/crs_0042/go-for-backend-services-concurrency-apis-and-logging-for-teams,Intermediate,1–4 Weeks,English,Computer Science,"Go, Concurrency, Backend Development, Logging, Performance Tuning","golang, backend, logging","This course helps you build job-ready skills for golang, backend, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",15,Course
crs_0043,State Management Patterns: Redux and Scalable UI for Teams,Coursera,https://learning.example.com/courses/crs_0043/state-management-patterns-redux-and-scalable-ui-for-teams,Intermediate,1–4 Weeks,Portuguese (Brazil),Computer Science,"Redux, State Management, TypeScript, Frontend","frontend, typescript, ui","This course helps you build job-ready skills for frontend, typescript, ui. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",11,Course
crs_0044,FinOps Fundamentals: Cloud Cost Optimization and Governance at Scale,IBM Training,https://learning.example.com/courses/crs_0044/finops-fundamentals-cloud-cost-optimization-and-governance-at-scale,Intermediate,Less than 2 hours,English,Business,"FinOps, Cloud Cost Optimization, Monitoring, Forecasting","finops, cost-optimization, cloud, monitoring","This course helps you build job-ready skills for finops, cost-optimization, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",2,Professional Certificate
crs_0045,Advanced Zero-Downtime Database Migrations with Liquibase,Coursera,https://learning.example.com/courses/crs_0045/advanced-zero-downtime-database-migrations-with-liquibase,Advanced,1–3 Months,English,Information Technology,"Database Migrations, Liquibase, PostgreSQL, Release Engineering","database-migrations, release-engineering, database, sql","This course helps you build job-ready skills for database-migrations, release-engineering, database. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",27,Course
crs_0046,Kubernetes Foundations for Platform Engineers in Practice,University Partner,https://learning.example.com/courses/crs_0046/kubernetes-foundations-for-platform-engineers-in-practice,Beginner,1–3 Months,English,Information Technology,"Kubernetes, Containers, Cluster Management, Troubleshooting, SRE","kubernetes, platform, reliability, containers","This course helps you build job-ready skills for kubernetes, platform, reliability. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",33,Course
crs_0047,Feature Flags and Progressive Delivery: Orders Track,DeepLearning.AI,https://learning.example.com/courses/crs_0047/feature-flags-and-progressive-delivery-orders-track,Beginner,1–3 Months,English,Computer Science,"Feature Flags, Release Management, Risk Mitigation, Observability, Testing","feature-flags, release-engineering, risk-mitigation, observability","This course helps you build job-ready skills for feature-flags, release-engineering, risk-mitigation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",33,Course
crs_0048,Infrastructure as Code with Terraform and Cloud Foundations in Practice,Coursera,https://learning.example.com/courses/crs_0048/infrastructure-as-code-with-terraform-and-cloud-foundations-in-practice,Intermediate,1–3 Months,French,Information Technology,"Terraform, Infrastructure as Code, Cloud Computing, DevOps, System Design","iac, platform, cloud, automation","This course helps you build job-ready skills for iac, platform, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",25,Course
crs_0049,Modern Secure Authentication with OAuth and OpenID Connect,Coursera,https://learning.example.com/courses/crs_0049/modern-secure-authentication-with-oauth-and-openid-connect,Advanced,Less than 2 hours,English,Computer Science,"OAuth, OpenID Connect, Identity and Access Management, Security, System Design","iam, security, access-control","This course helps you build job-ready skills for iam, security, access-control. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",2,Course
crs_0050,FinOps Fundamentals: Cloud Cost Optimization and Governance in Practice,Coursera,https://learning.example.com/courses/crs_0050/finops-fundamentals-cloud-cost-optimization-and-governance-in-practice,Beginner,Less than 2 hours,English,Business,"FinOps, Cloud Cost Optimization, Monitoring, Forecasting, Testing","finops, cost-optimization, cloud, monitoring","This course helps you build job-ready skills for finops, cost-optimization, cloud. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Guided Project
crs_0051,Caching and Rate Limiting for High-Scale APIs: Billing Mastery,Coursera,https://learning.example.com/courses/crs_0051/caching-and-rate-limiting-for-high-scale-apis-billing-mastery,Intermediate,3–6 Months,English,Computer Science,"Redis, Caching, Rate Limiting, API Gateway","caching, backend, api-gateway","This course helps you build job-ready skills for caching, backend, api-gateway. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",112,Course
crs_0052,Modern Frontend Engineering with React and TypeScript Foundations,IBM Training,https://learning.example.com/courses/crs_0052/modern-frontend-engineering-with-react-and-typescript-foundations,Beginner,1–3 Months,English,Computer Science,"React, TypeScript, UI Engineering, Accessibility, State Management, Code Review, Security Best Practices","frontend, react, typescript, ui, accessibility","This course helps you build job-ready skills for frontend, react, typescript. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",23,Professional Certificate
crs_0053,"Production Go for Backend Services: Concurrency, APIs, and Logging",Coursera,https://learning.example.com/courses/crs_0053/production-go-for-backend-services-concurrency-apis-and-logging,Intermediate,Less than 2 hours,English,Computer Science,"Go, Concurrency, Backend Development, Logging, Code Review","golang, backend, logging","This course helps you build job-ready skills for golang, backend, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0054,Secure Authentication with OAuth and OpenID Connect: Search Track,Coursera,https://learning.example.com/courses/crs_0054/secure-authentication-with-oauth-and-openid-connect-search-track,Advanced,Less than 2 hours,German,Computer Science,"OAuth, OpenID Connect, Identity and Access Management, Security","iam, security, access-control","This course helps you build job-ready skills for iam, security, access-control. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Guided Project
crs_0055,Production Practical Data Engineering with Streaming and Kafka,IBM Training,https://learning.example.com/courses/crs_0055/production-practical-data-engineering-with-streaming-and-kafka,Mixed,Less than 2 hours,English,Data Science,"Kafka, Streaming Data, Data Pipelines, Schema Registry, Security Best Practices, DevOps","streaming, kafka, data-platform, schemas","This course helps you build job-ready skills for streaming, kafka, data-platform. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0056,Practical Edge Reliability with Nginx and Traffic Management,IBM SkillsBuild,https://learning.example.com/courses/crs_0056/practical-edge-reliability-with-nginx-and-traffic-management,Intermediate,Less than 2 hours,Portuguese (Brazil),Information Technology,"Nginx, Load Balancing, Caching, Reliability Engineering","edge, reliability, caching","This course helps you build job-ready skills for edge, reliability, caching. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",3,Course
crs_0057,Advanced Vector Search and Embeddings for Retrieval Systems,Coursera,https://learning.example.com/courses/crs_0057/advanced-vector-search-and-embeddings-for-retrieval-systems,Intermediate,Less than 2 hours,French,Data Science,"Embeddings, Vector Search, Similarity Search, Information Retrieval","embeddings, retrieval, vector-search","This course helps you build job-ready skills for embeddings, retrieval, vector-search. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",1,Guided Project
crs_0058,"Observability: Logging, Metrics, Tracing, and Alerting Bootcamp",Coursera,https://learning.example.com/courses/crs_0058/observability-logging-metrics-tracing-and-alerting-bootcamp,Beginner,1–3 Months,English,Information Technology,"Observability, Monitoring, Logging, Alerting, Incident Response, System Design","observability, monitoring, logging, alerting, reliability","This course helps you build job-ready skills for observability, monitoring, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",59,Specialization
crs_0059,Modern Edge Reliability with Nginx and Traffic Management,IBM SkillsBuild,https://learning.example.com/courses/crs_0059/modern-edge-reliability-with-nginx-and-traffic-management,Intermediate,1–4 Weeks,English,Information Technology,"Nginx, Load Balancing, Caching, Reliability Engineering, Testing, Performance Tuning","edge, reliability, caching","This course helps you build job-ready skills for edge, reliability, caching. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",11,Course
crs_0060,"Advanced Go for Backend Services: Concurrency, APIs, and Logging",Coursera,https://learning.example.com/courses/crs_0060/advanced-go-for-backend-services-concurrency-apis-and-logging,Intermediate,1–4 Weeks,French,Computer Science,"Go, Concurrency, Backend Development, Logging, Observability, Documentation","golang, backend, logging","This course helps you build job-ready skills for golang, backend, logging. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",13,Course
crs_0061,Production Caching and Rate Limiting for High-Scale APIs,IBM SkillsBuild,https://learning.example.com/courses/crs_0061/production-caching-and-rate-limiting-for-high-scale-apis,Intermediate,Less than 2 hours,English,Computer Science,"Redis, Caching, Rate Limiting, API Gateway","caching, backend, api-gateway","This course helps you build job-ready skills for caching, backend, api-gateway. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",2,Guided Project
crs_0062,Modern Testing Strategies with PyTest and Mocking for Reliable Systems,IBM SkillsBuild,https://learning.example.com/courses/crs_0062/modern-testing-strategies-with-pytest-and-mocking-for-reliable-systems,Beginner,1–3 Months,English,Computer Science,"PyTest, Unit Testing, Integration Testing, Mocking, Quality, Testing, Code Review","testing, quality","This course helps you build job-ready skills for testing, quality. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",31,Course
crs_0063,Feature Flags and Progressive Delivery for Engineers,IBM Training,https://learning.example.com/courses/crs_0063/feature-flags-and-progressive-delivery-for-engineers,Advanced,1–3 Months,English,Computer Science,"Feature Flags, Release Management, Risk Mitigation, Observability, Testing, Code Review","feature-flags, release-engineering, risk-mitigation, observability","This course helps you build job-ready skills for feature-flags, release-engineering, risk-mitigation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",33,Course
crs_0064,Reliable SQL for Analytics and Database Performance Tuning,Coursera,https://learning.example.com/courses/crs_0064/reliable-sql-for-analytics-and-database-performance-tuning,Beginner,1–3 Months,English,Data Science,"SQL, Query Optimization, Indexes, PostgreSQL, Data Modeling","sql, database","This course helps you build job-ready skills for sql, database. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",60,Course
crs_0065,High-Impact Technical Communication for Engineers Bootcamp,IBM Training,https://learning.example.com/courses/crs_0065/high-impact-technical-communication-for-engineers-bootcamp,Beginner,Less than 2 hours,English,Personal Development,"Technical Writing, Stakeholder Communication, Documentation, Testing, Incident Management","communication, documentation","This course helps you build job-ready skills for communication, documentation. You will learn best practices, implement hands-on exercises, and leave with reusable patterns for real projects.",1,Course
