reco_id,created_at,based_on_log_id,employee_id,manager_id,team_id,work_title_snapshot,technologies_snapshot,skill_tags_input,recommended_course_ids,recommended_titles_snapshot,rationale,plan_2weeks,delivery_channel,user_feedback
rec_0016,2026-01-10T15:58:00Z,1075,emp_12,mgr_04,team_delta,Fix flaky integration tests in data-ingest,"PyTest, CI, Mocking","testing, quality, cicd","crs_0088, crs_0024, crs_0015","Testing Strategies with PyTest and Mocking for Reliable Systems for Engineers, Testing Strategies with PyTest and Mocking for Reliable Systems: Analytics Playbook, Scalable Testing Strategies with PyTest and Mocking for Reliable Systems",Testing Strategies with PyTest and Mocking for Reliable Systems for Engineers: strengthens testing/quality with practical patterns | Testing Strategies with PyTest and Mocking for Reliable Systems: Analytics Playbook: strengthens quality/cicd with practical patterns | Scalable Testing Strategies with PyTest and Mocking for Reliable Systems: strengthens cicd/testing with practical patterns,"Week 1: crs_0088 (focus modules, ~4h) + apply to current work item | Week 2: crs_0024 (practice + mini-checklist, ~4h) | Stretch: crs_0015 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Saved
rec_0017,2026-01-11T12:48:00Z,1011,emp_08,mgr_04,team_delta,Feature flag rollout for billing-service,"Feature Flags, Observability, Backend","release-engineering, feature-flags, risk-mitigation, observability, monitoring, alerting, backend, api-design","crs_0047, crs_0063, crs_0014","Feature Flags and Progressive Delivery: Orders Track, Feature Flags and Progressive Delivery for Engineers, Secure Feature Flags and Progressive Delivery",Feature Flags and Progressive Delivery: Orders Track: strengthens release-engineering/feature-flags with practical patterns | Feature Flags and Progressive Delivery for Engineers: strengthens feature-flags/risk-mitigation with practical patterns | Secure Feature Flags and Progressive Delivery: strengthens risk-mitigation/observability with practical patterns,"Week 1: crs_0047 (focus modules, ~8h) + apply to current work item | Week 2: crs_0063 (practice + mini-checklist, ~8h) | Stretch: crs_0014 (optional deep dive, 1–2 sessions)",Orchestrate Chat,None
rec_0018,2026-01-11T16:19:00Z,1089,emp_08,mgr_04,team_delta,Evaluate vector search options for search-api,"Embeddings, Vector Search, RAG","ml, embeddings, retrieval, vector-search, rag, llm-systems","crs_0074, crs_0080, crs_0057","Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation, RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations, Advanced Vector Search and Embeddings for Retrieval Systems",Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation: strengthens ml/embeddings with practical patterns | RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations: strengthens embeddings/retrieval with practical patterns | Advanced Vector Search and Embeddings for Retrieval Systems: strengthens retrieval/vector-search with practical patterns,"Week 1: crs_0074 (focus modules, ~3h) + apply to current work item | Week 2: crs_0080 (practice + mini-checklist, ~3h) | Stretch: crs_0057 (optional deep dive, 1–2 sessions)",Slack,Helpful
rec_0019,2026-01-14T12:23:00Z,1095,emp_05,mgr_02,team_beta,CI/CD pipeline hardening for infra-modules,"GitHub Actions, Docker, Trivy","cicd, automation, containers, security, supply-chain","crs_0096, crs_0007, crs_0091","Supply Chain Security and Container Scanning in CI for Engineers, Supply Chain Security and Container Scanning in CI at Scale, Secrets Management and Rotation Automation with Vault for Engineers",Supply Chain Security and Container Scanning in CI for Engineers: strengthens cicd/automation with practical patterns | Supply Chain Security and Container Scanning in CI at Scale: strengthens automation/containers with practical patterns | Secrets Management and Rotation Automation with Vault for Engineers: strengthens containers/security with practical patterns,"Week 1: crs_0096 (focus modules, ~3h) + apply to current work item | Week 2: crs_0007 (practice + mini-checklist, ~3h) | Stretch: crs_0091 (optional deep dive, 1–2 sessions)",Slack,Helpful
rec_0021,2026-01-15T12:46:00Z,1042,emp_06,mgr_02,team_beta,Resolve auth redirect loop in analytics-api,"OAuth, OpenID Connect, Nginx","iam, security, edge, reliability","crs_0056, crs_0006, crs_0059","Practical Edge Reliability with Nginx and Traffic Management, Secure Authentication with OAuth and OpenID Connect for Teams, Modern Edge Reliability with Nginx and Traffic Management",Practical Edge Reliability with Nginx and Traffic Management: strengthens iam/security with practical patterns | Secure Authentication with OAuth and OpenID Connect for Teams: strengthens security/edge with practical patterns | Modern Edge Reliability with Nginx and Traffic Management: strengthens edge/reliability with practical patterns,"Week 1: crs_0056 (focus modules, ~3h) + apply to current work item | Week 2: crs_0006 (practice + mini-checklist, ~3h) | Stretch: crs_0059 (optional deep dive, 1–2 sessions)",Teams,Helpful
rec_0022,2026-01-15T12:55:00Z,1082,emp_08,mgr_04,team_delta,CI/CD pipeline hardening for ml-pipelines,"GitHub Actions, Docker, Trivy","cicd, automation, containers, security, supply-chain","crs_0007, crs_0096, crs_0092","Supply Chain Security and Container Scanning in CI at Scale, Supply Chain Security and Container Scanning in CI for Engineers, Secrets Management and Rotation Automation with Vault: Orders Program",Supply Chain Security and Container Scanning in CI at Scale: strengthens cicd/automation with practical patterns | Supply Chain Security and Container Scanning in CI for Engineers: strengthens automation/containers with practical patterns | Secrets Management and Rotation Automation with Vault: Orders Program: strengthens containers/security with practical patterns,"Week 1: crs_0007 (focus modules, ~6h) + apply to current work item | Week 2: crs_0096 (practice + mini-checklist, ~6h) | Stretch: crs_0092 (optional deep dive, 1–2 sessions)",Slack,None
rec_0020,2026-01-15T13:56:00Z,1013,emp_09,mgr_01,team_alpha,Implement rate limiting for billing-service,"Redis, API Gateway, Backend","caching, backend, api-gateway, platform, api-design","crs_0079, crs_0061, crs_0051","Caching and Rate Limiting for High-Scale APIs: Profile Track, Production Caching and Rate Limiting for High-Scale APIs, Caching and Rate Limiting for High-Scale APIs: Billing Mastery",Caching and Rate Limiting for High-Scale APIs: Profile Track: strengthens caching/backend with practical patterns | Production Caching and Rate Limiting for High-Scale APIs: strengthens backend/api-gateway with practical patterns | Caching and Rate Limiting for High-Scale APIs: Billing Mastery: strengthens api-gateway/platform with practical patterns,"Week 1: crs_0079 (focus modules, ~6h) + apply to current work item | Week 2: crs_0061 (practice + mini-checklist, ~6h) | Stretch: crs_0051 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Helpful
rec_0023,2026-01-15T16:25:00Z,1083,emp_02,mgr_03,team_gamma,Patch dependency CVE in data-ingest,"Dependency Management, SCA, Security","dependency-mgmt, security, sca","crs_0054, crs_0035, crs_0049","Secure Authentication with OAuth and OpenID Connect: Search Track, Secrets Management and Rotation Automation with Vault in Practice, Modern Secure Authentication with OAuth and OpenID Connect",Secure Authentication with OAuth and OpenID Connect: Search Track: strengthens dependency-mgmt/security with practical patterns | Secrets Management and Rotation Automation with Vault in Practice: strengthens security/sca with practical patterns | Modern Secure Authentication with OAuth and OpenID Connect: strengthens sca/dependency-mgmt with practical patterns,"Week 1: crs_0054 (focus modules, ~3h) + apply to current work item | Week 2: crs_0035 (practice + mini-checklist, ~3h) | Stretch: crs_0049 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Helpful
rec_0025,2026-01-16T14:41:00Z,1087,emp_07,mgr_04,team_delta,Evaluate vector search options for profile-service,"Embeddings, Vector Search, RAG","ml, embeddings, retrieval, vector-search, rag, llm-systems","crs_0080, crs_0074, crs_0076","RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations, Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation, Hands-on Vector Search and Embeddings for Retrieval Systems",RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations: strengthens ml/embeddings with practical patterns | Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation: strengthens embeddings/retrieval with practical patterns | Hands-on Vector Search and Embeddings for Retrieval Systems: strengthens retrieval/vector-search with practical patterns,"Week 1: crs_0080 (focus modules, ~8h) + apply to current work item | Week 2: crs_0074 (practice + mini-checklist, ~8h) | Stretch: crs_0076 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Not Helpful
rec_0024,2026-01-16T15:16:00Z,1024,emp_05,mgr_02,team_beta,Secrets rotation automation,"Vault, Terraform, Automation","secrets, security, iac, platform, automation","crs_0048, crs_0035, crs_0092","Infrastructure as Code with Terraform and Cloud Foundations in Practice, Secrets Management and Rotation Automation with Vault in Practice, Secrets Management and Rotation Automation with Vault: Orders Program",Infrastructure as Code with Terraform and Cloud Foundations in Practice: strengthens secrets/security with practical patterns | Secrets Management and Rotation Automation with Vault in Practice: strengthens security/iac with practical patterns | Secrets Management and Rotation Automation with Vault: Orders Program: strengthens iac/platform with practical patterns,"Week 1: crs_0048 (focus modules, ~8h) + apply to current work item | Week 2: crs_0035 (practice + mini-checklist, ~8h) | Stretch: crs_0092 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Helpful
rec_0026,2026-01-17T09:19:00Z,1069,emp_08,mgr_04,team_delta,Feature flag rollout for profile-service,"Feature Flags, Observability, Backend","release-engineering, feature-flags, risk-mitigation, observability, monitoring, alerting, backend, api-design","crs_0063, crs_0047, crs_0001","Feature Flags and Progressive Delivery for Engineers, Feature Flags and Progressive Delivery: Orders Track, Feature Flags and Progressive Delivery in Practice",Feature Flags and Progressive Delivery for Engineers: strengthens release-engineering/feature-flags with practical patterns | Feature Flags and Progressive Delivery: Orders Track: strengthens feature-flags/risk-mitigation with practical patterns | Feature Flags and Progressive Delivery in Practice: strengthens risk-mitigation/observability with practical patterns,"Week 1: crs_0063 (focus modules, ~8h) + apply to current work item | Week 2: crs_0047 (practice + mini-checklist, ~8h) | Stretch: crs_0001 (optional deep dive, 1–2 sessions)",Slack,Not Helpful
rec_0027,2026-01-17T14:18:00Z,1072,emp_07,mgr_04,team_delta,Add audit logging for privileged actions,"Go, Logging, Security","backend, golang, observability, logging, security","crs_0053, crs_0042, crs_0086","Production Go for Backend Services: Concurrency, APIs, and Logging, Go for Backend Services: Concurrency, APIs, and Logging for Teams, Production Go for Backend Services: Concurrency, APIs, and Logging (v2)","Production Go for Backend Services: Concurrency, APIs, and Logging: strengthens backend/golang with practical patterns | Go for Backend Services: Concurrency, APIs, and Logging for Teams: strengthens golang/observability with practical patterns | Production Go for Backend Services: Concurrency, APIs, and Logging (v2): strengthens observability/logging with practical patterns","Week 1: crs_0053 (focus modules, ~3h) + apply to current work item | Week 2: crs_0042 (practice + mini-checklist, ~3h) | Stretch: crs_0086 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Saved
rec_0028,2026-01-18T09:26:00Z,1049,emp_01,mgr_01,team_alpha,Database schema migration for identity-service,"PostgreSQL, SQL, Liquibase","database, sql, database-migrations, platform","crs_0085, crs_0037, crs_0045","Zero-Downtime Database Migrations with Liquibase for Engineers, Zero-Downtime Database Migrations with Liquibase: Orders Playbook, Advanced Zero-Downtime Database Migrations with Liquibase",Zero-Downtime Database Migrations with Liquibase for Engineers: strengthens database/sql with practical patterns | Zero-Downtime Database Migrations with Liquibase: Orders Playbook: strengthens sql/database-migrations with practical patterns | Advanced Zero-Downtime Database Migrations with Liquibase: strengthens database-migrations/platform with practical patterns,"Week 1: crs_0085 (focus modules, ~3h) + apply to current work item | Week 2: crs_0037 (practice + mini-checklist, ~3h) | Stretch: crs_0045 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Saved
rec_0029,2026-01-18T18:18:00Z,1067,emp_08,mgr_04,team_delta,Resolve auth redirect loop in notifications,"OAuth, OpenID Connect, Nginx","iam, security, edge, reliability","crs_0019, crs_0039, crs_0054","Hands-on Edge Reliability with Nginx and Traffic Management, Edge Reliability with Nginx and Traffic Management: Search Essentials, Secure Authentication with OAuth and OpenID Connect: Search Track",Hands-on Edge Reliability with Nginx and Traffic Management: strengthens iam/security with practical patterns | Edge Reliability with Nginx and Traffic Management: Search Essentials: strengthens security/edge with practical patterns | Secure Authentication with OAuth and OpenID Connect: Search Track: strengthens edge/reliability with practical patterns,"Week 1: crs_0019 (focus modules, ~7h) + apply to current work item | Week 2: crs_0039 (practice + mini-checklist, ~7h) | Stretch: crs_0054 (optional deep dive, 1–2 sessions)",Teams,Helpful
rec_0031,2026-01-20T11:42:00Z,1088,emp_09,mgr_01,team_alpha,Fix flaky integration tests in infra-modules,"PyTest, CI, Mocking","testing, quality, cicd","crs_0077, crs_0084, crs_0015","Testing Strategies with PyTest and Mocking for Reliable Systems: Search Series, Testing Strategies with PyTest and Mocking for Reliable Systems at Scale, Scalable Testing Strategies with PyTest and Mocking for Reliable Systems",Testing Strategies with PyTest and Mocking for Reliable Systems: Search Series: strengthens testing/quality with practical patterns | Testing Strategies with PyTest and Mocking for Reliable Systems at Scale: strengthens quality/cicd with practical patterns | Scalable Testing Strategies with PyTest and Mocking for Reliable Systems: strengthens cicd/testing with practical patterns,"Week 1: crs_0077 (focus modules, ~5h) + apply to current work item | Week 2: crs_0084 (practice + mini-checklist, ~5h) | Stretch: crs_0015 (optional deep dive, 1–2 sessions)",Slack,Helpful
rec_0030,2026-01-20T17:17:00Z,1041,emp_09,mgr_01,team_alpha,Feature flag rollout for search-api,"Feature Flags, Observability, Backend","release-engineering, feature-flags, risk-mitigation, observability, monitoring, alerting, backend, api-design","crs_0010, crs_0014, crs_0047","Feature Flags and Progressive Delivery: Analytics Essentials, Secure Feature Flags and Progressive Delivery, Feature Flags and Progressive Delivery: Orders Track",Feature Flags and Progressive Delivery: Analytics Essentials: strengthens release-engineering/feature-flags with practical patterns | Secure Feature Flags and Progressive Delivery: strengthens feature-flags/risk-mitigation with practical patterns | Feature Flags and Progressive Delivery: Orders Track: strengthens risk-mitigation/observability with practical patterns,"Week 1: crs_0010 (focus modules, ~3h) + apply to current work item | Week 2: crs_0014 (practice + mini-checklist, ~3h) | Stretch: crs_0047 (optional deep dive, 1–2 sessions)",Teams,Helpful
rec_0033,2026-01-21T11:54:00Z,1017,emp_09,mgr_01,team_alpha,Secrets rotation automation,"Vault, Terraform, Automation","secrets, security, iac, platform, automation","crs_0048, crs_0008, crs_0031","Infrastructure as Code with Terraform and Cloud Foundations in Practice, Advanced Infrastructure as Code with Terraform and Cloud Foundations, Secrets Management and Rotation Automation with Vault Bootcamp",Infrastructure as Code with Terraform and Cloud Foundations in Practice: strengthens secrets/security with practical patterns | Advanced Infrastructure as Code with Terraform and Cloud Foundations: strengthens security/iac with practical patterns | Secrets Management and Rotation Automation with Vault Bootcamp: strengthens iac/platform with practical patterns,"Week 1: crs_0048 (focus modules, ~8h) + apply to current work item | Week 2: crs_0008 (practice + mini-checklist, ~8h) | Stretch: crs_0031 (optional deep dive, 1–2 sessions)",Teams,Helpful
